"mathall","vm","vocabpre","mathpre","numbmath","age","momdegr","daddegr","hsgpaar","cauc","male"
17,1,24,7,2,19,14,14,4,1,1
10,1,26,3,2,28,12,6,3.5,1,0
13,1,17,5,1,19,14.0939838148385,13.5902879394257,2.95,0,0
3,0,23,4,2,21,14,12,2.27,1,0
4,0,23,5,2,34,13.5869355899848,16,2.60511984016672,1,0
2,0,28,7,2,20,14,18,2.57,1,1
4,1,12,5,4,21,16,16,2.8,0,1
11,0,25,10,3,19,16,12,1.9,0,0
10,1,17,9,1,18,12,12,3.45,1,1
6,0,23,8,2,18,18,16,3.45,1,0
10,0,26,3,1,18,16,16,3.33,1,0
12,1,19,7,2,19,12,16,3.4,1,0
11,0,17,9,1,19,16,16,2.55,0,0
7,0,23,10,2,18,12,12,3.31,1,1
2,0,24,7,2,38,16,10,3,1,0
13,1,6,5,2,28,16,18,3,0,0
15,0,28,9,1,19,14,14,3.82,1,0
8,1,19,6,1,18,16,16,2.88,0,0
10,0,13,5,2,23,14,16,2.61,1,0
12,0,21,4,2,19,12,12,3.3,0,0
16,1,10,5,3,21,16,12,3.5,0,1
14,1,25,9,1,18,12,16,3.54,1,0
3,0,23,3,0,26,12,12,2,1,0
16,1,22,9,2,20.3039014373717,14.479203054159,15.2648789247243,3.1,1,1
13,1,22,10,3,18,16,16,3.72,0,0
6,1,12,1,0,37,13.122156268436,12.3563238749228,2.32662682576096,0,0
4,0,22,9,1,29,12,10,2.5,1,0
6,0,25,6,2,21,12,12,2.5,1,0
10,0,21,9,2,19,16,12,3.4,1,1
16,1,31,13,2,19,16,12,4.00831789603088,1,1
4,0,14,4,1,19,14,14,3.4,0,0
3,0,18,9,1,22,18,12,2.8,1,1
11,1,19,6,2,19,16,16.4617108853869,3.8,1,0
8,0,18,8,2,18,12,12,3.43,0,0
7,0,27,11,4,26,12,16,3.09662306114551,1,1
12,0,28,9,2,26,16,12,3.3,1,1
17,1,26,10,3,22,18,16,3.6,1,1
16,1,20,9,3,18,16,16,3.44,1,0
12,1,13,6,2,18,12,12,2.87,1,0
9,1,21,7,2,21,12,12,2.93,1,0
11,1,22,8,2,21,12,16,3.9,0,0
8,1,15,8,2,20,13.6890859581937,14.6400322285244,1.84,1,1
17,1,24,9,3,20,13,16,4,0,0
12,1,15,2,1,19,14.8506757551025,14.2743189783637,2.5,0,1
9,0,21,5,1,18,12,12,3.64,1,0
11,0,17,6,3,22,16,12,4.5,0,0
4,0,23,6,1,19.0718685831622,14.3807732832072,14.1790041160526,3.07747924129655,1,0
12,1,11,4,2,18,8,12,2.8,0,0
7,1,20,2,0,31,13,13,2.3870255962651,1,0
0,0,22,4,1,20,14,16,2.48,1,0
14,0,25,8,2,20,16,20,4,1,0
8,1,14,8,2,17,12,12.8930172345348,2.05,0,0
10,0,25,2,2,20,12,12,3.1,0,0
8,0,30,7,2,22,15,15,3.25,1,1
7,0,21,5,2,19,16,16,2.88,1,1
16,1,17,8,1,18,12,10,3.84,0,1
12,1,15,5,3,20,16,16,2.94,0,0
7,0,20,6,1,21,12,13,3.2,0,0
3,0,27,12,1,19,12,12,3.8,1,0
14,1,26,8,2,21,16,18,1.87,1,1
1,0,19,4,2,19,18,18,3.5,0,0
15,1,19,7,4,19,13,12,3.47,1,0
17,0,30,10,3,18,18,18,4,1,0
3,0,17,4,2,22,14.4538788000171,14.8988917996485,2.8,0,0
14,1,25,9,1,18,16,12,2.9,1,0
6,0,20,6,2,17,16,16,3.56,1,0
8,0,14,5,1,19,12,12,3.36,1,0
4,0,26,8,1,47,14,12,2.37144377315304,0,0
4,0,26,3,2,19,18,18,3.2,1,0
11,1,19,4,3,32,12,16,3.2,0,0
0,0,22,6,4,21,16,14,3.59,0,1
10,1,20,8,1,18,12,12,3.02,1,0
13,0,28,6,2,23,12,16,2.6,1,1
7,0,20,5,1,19,16,12,3.4,0,0
13,0,23,5,2,18,14,12,3.66,0,0
4,0,21,3,1,19,14.8487251181416,14.8710362743155,2.8,1,0
7,1,9,2,3,27,10,12,1.63,0,1
16,1,31,9,3,24,16,14,3.3,0,1
18,1,9,3,2,28.6269678302532,12.1965451195543,15.3253685691322,1.89255511321418,0,1
1,0,32,6,2,45,13,12,3.2,1,0
10,1,18,6,2,26,12,16,2.48,0,1
4,0,29,8,3,29,16,16,2,1,1
15,0,29,12,2,17,18,16,4,0,0
13,0,33,7,1,18,18,18,4,1,0
15,0,22,3,2,19,16.8914975993122,20,3.72,0,0
6,0,16,4,1,17,16,16,3.16,1,0
14,1,22,7,4,20,13,16,3.96,0,0
3,0,20,3,1,19,16,16,3.1,0,0
7,0,20,3,1,20,16,16,3.44,1,0
14,1,30,8,2,20,12,12,4,1,0
0,0,22,3,2,19,16,16,2.5,1,0
10,1,16,3,1,18,16,16,3,0,0
6,0,19,5,2,20,12,14,3.6,1,1
4,0,21,4,1,21.5633127994524,14.9822967362417,14.7793494515458,2.94190708516738,1,0
7,0,24,4,1,24,16,16,2.37,0,0
4,0,17,1,2,22,16,16,3,0,0
10,0,21,6,1,21,16,16,2.04,0,0
11,1,16,5,3,23,13.3065349801727,14.0706367951427,3.18157537504006,0,0
10,0,22,7,2,21,12,12,4,0,0
5,0,14,5,2,20,20,14,3.5,0,0
7,0,25,9,3,18,16,18,3.39,1,0
10,1,27,7,2,33,12,18,2.5,1,0
12,1,27,5,3,20,18,18,3.78,1,0
11,0,20,8,2,18,12,12,3.09,0,0
13,0,27,11,3,19,12,12,4,1,1
14,1,15,8,2,19,16,18,3,1,1
8,1,19,7,4,20,16,18,2.16,0,1
8,1,19,7,4,20,16,18,2.16,0,1
11,0,18,6,1,18,16,16,3.6,0,0
17,1,13,10,3,19,12,16,3.6,0,0
15,0,17,9,4,31.8302532511978,13.4813711527116,13.5823527245317,2.75289879915897,0,1
6,0,12,6,2,32,14,12.5293836888504,2.69894909828407,0,0
7,1,28,3,1,32,12,12,2.60001094272391,1,0
10,1,25,6,3,19,12,12,3.42,1,0
13,1,24,7,4,21,15,15,3.51,0,0
15,1,24,6,1,18,14,13.4354093703537,2.35,0,0
7,1,18,4,2,18,16,15.3452352853928,2.9,0,0
12,0,25,6,4,20,14,16,3.8,0,0
5,0,23,5,2,20,12,16,2.73,0,0
7,0,21,5,2,18,12,12,3.5,1,0
10,0,28,8,3,20,13,14.1161297883094,3.09,1,1
11,0,22,10,3,21,16,12,4,0,0
5,0,16,2,1,28,12,14,2.52640592786372,0,0
4,0,23,4,2,20,16,15,3.9,0,0
10,0,20,1,1,18,12,12,2.86,1,0
5,0,19,5,1,18,14.3925724902549,13.8331502460985,2.9,1,0
2,0,23,8,1,19,12,16,3.12,1,1
11,0,28,6,1,19,16,16,3.4,1,0
2,0,19,5,3,22,16,16,2.5,0,0
10,0,22,4,1,18,12,16,3.33,1,0
8,0,25,6,4,21,12,16,2.88,1,1
3,0,19,2,2,23,16,12,3.3,0,0
8,0,8,4,2,29,6,14,2.3,0,0
17,1,24,10,3,18,13,16,3.2,0,0
5,0,21,5,0,33,12,12,3,0,0
15,1,27,13,3,20,12,16,3.3,1,1
16,1,11,6,3,18,12,12,4,0,0
17,0,22,12,3,19,16,12,3.35,0,0
9,0,13,8,3,29,16,20,3.5,0,0
14,1,18,5,2,18,12,12,3.04,0,0
15,1,28,6,3,19,16,16,3.54,1,0
13,1,25,12,1,25,12,12,2.975,1,1
16,1,20,4,2,18,16,18,4,0,0
0,0,26,7,1,20,16,16,2,1,1
7,0,17,8,1,19,14,12,3,1,1
11,1,18,6,2,19,13,12,2.95,1,0
4,0,19,7,2,22,12,12,2.07,1,1
5,0,20,3,3,19,18,16,2.95,0,0
12,1,13,3,1,18,12,12,3.75,0,0
12,0,24,10,2,18,14,18,3.34,1,0
2,0,19,7,1,19,14,15,2.62,1,0
11,1,23,8,2,25,18,13,3.17740297976932,0,0
7,0,8,5,2,19,12,13,2.11,1,0
13,1,14,2,3,20,12,16,2.78,0,0
2,0,29,4,2,39,13,16,2.8,1,0
10,1,20,9,2,20,12,16,2.87,1,0
13,1,20,8,3,19,14,15.0112913943348,3.25,0,0
15,1,23,7,4,19.1266255989049,14.6093104891496,16.1939815610067,3.62,1,0
16,0,27,10,2,18,12,16,3.27,1,1
7,1,22,5,10,32,20,20,3,0,0
15,1,31,8,2,26,18,20,3.6,1,0
10,0,18,3,3,19.7289527720739,15.0640543836032,15.1405804104436,3.29378730047852,0,0
4,0,21,1,1,18,16,12,3.07,1,0
6,0,21,6,1,22,12,12,2.12,1,0
5,0,14,3,2,19.5701574264203,13.0369324372869,14.2855582549291,2.68,0,0
14,0,26,13,3,22,12,12,4,1,1
3,0,15,2,1,18,16,16,1.52,1,1
11,0,24,8,2,19,12,14,3.17,1,0
8,0,18,8,2,20,16,18,2.57,1,1
14,1,21,9,2,20,18,14,4,0,0
5,0,13,7,2,19,14,12,3.6,0,0
6,0,18,3,3,21,12,16,3,1,0
16,0,27,8,2,18,18,16,3.35,1,1
3,0,22,4,2,20,16,12,2.5,0,0
8,0,29,8,2,21,16,18,3.5,1,0
16,0,20,9,3,21,12,12,2.98,1,1
9,0,16,7,2,21,14,13.3945778346978,3.01048274680115,0,0
10,1,22,2,2,24,9,8,2.96,0,0
13,1,22,9,1,21,13,16,2.95,1,0
