"vocabpre"	"mathpre"	"numbmath"	"likemath"	"likelit"	"preflit"	"pextra"	"pagree"	"pconsc"	"pemot"	"pintell"	"mars"	"beck"	"rq"	"vm"	"cauc"	"afram"	"other"	"age"	"male"	"married"	"parents."	"momdegr"	"daddegr"	"credit"	"majormi"	"actcomp"	"hsgpaar"	"collgpaa"	"vocaball"	"mathall"
"1"	22	6	1	2	9	3	28	37	40	30	38	83	2	"randomized experiment"	"Vocabulary"	"Caucasian"	"Other"	0	29	"female"	"0"	1e+05	12	16	6	"non-technical"	19.5338789957188	2.50981893058116	2	17	3
"2"	24	7	2	6	7	2	16	39	35	29	42	51	6	"quasiexperiment"	"Mathematics"	"Caucasian"	"Other"	0	19	"male"	"0"	15000	14	14	30	"non-technical"	27	4	2.73	7	17
"3"	26	3	2	2	10	3	22	41	35	29	30	76	5	"quasiexperiment"	"Mathematics"	"Caucasian"	"Other"	0	28	"female"	"0"	113471.446735655	12	6	45	"non-technical"	21.2877573348218	3.5	3.6	13	10
"4"	17	5	1	3	8	3	31	39	39	29	37	71	4	"quasiexperiment"	"Mathematics"	"Other"	"Afro-American"	0	19	"female"	"0"	89485.8242532086	14.0939838148385	13.5902879394257	30	"technical"	20	2.95	2.76	7	13
"5"	26	9	2	5	9	3	36	41	38	33	35	61	0	"randomized experiment"	"Vocabulary"	"Caucasian"	"Other"	0	24	"male"	"0"	40000	10	16	0	"technical"	24	2.81	3.68	20	9
"6"	23	4	2	8	10	2	22	46	34	33	32	33	3	"quasiexperiment"	"Vocabulary"	"Caucasian"	"Other"	0	21	"female"	"0"	36000	14	12	0	"non-technical"	19.9473609228818	2.27	1.64	18	3
"7"	14	4	1	5	8	3	29	41	31	24	39	75	8	"randomized experiment"	"Mathematics"	"Caucasian"	"Other"	0	20	"male"	"0"	125000	16	18	8	"non-technical"	30	3.02	2.53	11	10
"8"	23	5	2	2	7	3	29	48	48	40	31	77	0	"quasiexperiment"	"Vocabulary"	"Caucasian"	"Other"	0	34	"female"	"0"	176952.912365922	13.5869355899848	16	0	"non-technical"	19.5823124339951	2.60511984016672	3.657	17	4
"9"	28	7	2	2	9	3	28	43	34	36	41	44	1	"quasiexperiment"	"Vocabulary"	"Caucasian"	"Other"	0	20	"male"	"0"	60000	14	18	0	"non-technical"	26	2.57	3.423	20	2
"10"	12	5	4	6	6	1	31	32	36	33	35	63	0	"quasiexperiment"	"Mathematics"	"Other"	"Afro-American"	0	21	"male"	"0"	145000	16	16	116	"non-technical"	17.2083093091476	2.8	2.2	8	4
"11"	25	10	3	4	3	2	23	36	32	15	35	70	13	"quasiexperiment"	"Vocabulary"	"Other"	"Other"	1	19	"female"	"0"	40000	16	12	13	"non-technical"	24	1.9	2.4	23	11
"12"	24	9	1	6	3	1	47	45	40	39	35	55	0	"randomized experiment"	"Vocabulary"	"Caucasian"	"Other"	0	18	"female"	"0"	150000	16	16	0	"non-technical"	22	2.63	2.33	16	8
"13"	17	9	1	7	2	1	20	50	40	30	37	39	0	"quasiexperiment"	"Mathematics"	"Caucasian"	"Other"	0	18	"male"	"0"	120000	12	12	36.8445214000367	"non-technical"	19	3.45	3	8	10
"14"	23	8	2	4	7	3	34	42	33	31	40	54	8	"quasiexperiment"	"Vocabulary"	"Caucasian"	"Other"	0	18	"female"	"0"	24000	18	16	15	"non-technical"	17.703	3.45	3.65	22	6
"15"	26	3	1	4	8	3	21	40	35	25	43	42	9	"quasiexperiment"	"Vocabulary"	"Caucasian"	"Other"	0	18	"female"	"0"	49512.3289155394	16	16	15	"non-technical"	28	3.33	2.555	25	10
"16"	26	7	1	6	2	2	37	38	33	24	29	59	7	"randomized experiment"	"Vocabulary"	"Other"	"Other"	1	17	"female"	"0"	190000	16	18	0	"non-technical"	21	3.31	3.97	16	4
"17"	25	15	1	4	5	3	32	39	33	41	47	28	0	"randomized experiment"	"Vocabulary"	"Caucasian"	"Other"	0	18	"male"	"0"	60000	18	12	36	"non-technical"	29.962	2.7	2.622	21	6
"18"	19	7	2	3	8	3	35	44	30	27	35	74	5	"quasiexperiment"	"Mathematics"	"Caucasian"	"Other"	0	19	"female"	"0"	1e+05	12	16	0	"non-technical"	18	3.4	3.69	2	12
"19"	23	6	3	2	6	3	21	29	29	12	30	67	22	"randomized experiment"	"Mathematics"	"Caucasian"	"Other"	0	19	"female"	"0"	65000	12	12	29	"non-technical"	24	3.93	3.896	9	16
"20"	21	1	1	4	7	3	40	41	34	25	35	82	11	"randomized experiment"	"Vocabulary"	"Caucasian"	"Other"	0	21	"female"	"0"	60000	12	16	60	"non-technical"	20	2.18	2.776	19	8
"21"	17	9	1	3	5	3	29	35	31	29	26	76	0	"quasiexperiment"	"Vocabulary"	"Other"	"Other"	1	19	"female"	"0"	15000	16	16	19	"non-technical"	17	2.55	2.621	11	11
"22"	23	10	2	2	9	3	35	32	31	24	46	43	3	"quasiexperiment"	"Vocabulary"	"Caucasian"	"Other"	0	18	"male"	"0"	90000	12	12	16	"non-technical"	31	3.31	3.148	18	7
"23"	15	6	3	8	7	1	29	34	43	46	39	35	0	"randomized experiment"	"Vocabulary"	"Other"	"Afro-American"	0	29	"female"	"0"	165000	16	16	96	"technical"	18.7518253592548	3.5	3.2	10	4
"24"	24	7	2	7	10	3	37	40	43	39	40	49	0	"quasiexperiment"	"Vocabulary"	"Caucasian"	"Other"	0	38	"female"	"0"	130000	16	10	6	"non-technical"	19.9459789322833	3	3.428	14	2
"25"	6	5	2	8	6	1	22	35	32	26	22	52.0833333333333	12	"quasiexperiment"	"Mathematics"	"Other"	"Other"	1	28	"female"	"married"	86430.2880274219	16	18	25	"non-technical"	14.0877521882056	3	3.16	5	13
"26"	28	9	1	3	8	3	37	43	30	23	37	59	14	"quasiexperiment"	"Vocabulary"	"Caucasian"	"Other"	0	19	"female"	"0"	70000	14	14	36	"technical"	30	3.82	3.161	21	15
"27"	19	6	1	8	10	3	35.2498148721335	41.4877332318186	38.9135582803497	33.9267712088305	38.0243480623986	86	0	"quasiexperiment"	"Mathematics"	"Other"	"Afro-American"	0	18	"female"	"0"	90000	16	16	0	"non-technical"	18	2.88	2.31	5	8
"28"	19	3	3	7	3	1	23	38	39	25	41	30	5	"randomized experiment"	"Vocabulary"	"Other"	"Afro-American"	0	19	"female"	"0"	56207.9177668936	16	16	45.3177581430757	"non-technical"	20.3124625707171	3	2.8	13	8
"29"	13	5	2	6	4	2	32	36	32	28	30	63	5	"quasiexperiment"	"Vocabulary"	"Caucasian"	"Other"	0	23	"female"	"0"	125344.868285726	14	16	105	"non-technical"	18	2.61	2.88	19	10
"30"	21	6	4	6	8	3	47	46	27	28	43	62	6	"randomized experiment"	"Mathematics"	"Other"	"Afro-American"	0	21	"female"	"0"	30000	14	14	106	"non-technical"	25	4	2.65	5	14
